State,AMERICAN INDIAN/ALASKA NATIVE,ASIAN,BLACK,HISPANIC/LATINO,NATIVE HAWAIIAN/OTH PACF ISL,WHITE,TWO OR MORE RACES,OTHER
New-Mexico,7.780000000000001, 8.17, 0.33999999999999986, 24.9, 0.08, 8.630000000000003, 2.38, 8.63
New-York,0.22999999999999998, 25.65, 11.05, 7.620000000000001, 0.010000000000000002, 14.909999999999997, 0.5, 8.66
North-Carolina,1.06, 23.369999999999997, 17.17, 2.240000000000001, 0.07, 10.799999999999997, 2.49, 3.09
North-Dakota,5.29, 1.18, 0.28000000000000025, 1.1100000000000003, 0.11, 2.8599999999999994, 5.3, 1.07
Ohio,0.42, 16.64, 8.21, 0.29000000000000004, 0.04000000000000001, 14.899999999999991, 1.6600000000000001, 0.97
Oklahoma,7.04, 15.270000000000001, 5.54, 0.75, 0.16, 8.649999999999999, 2.130000000000001, 2.71
Oregon,0.5399999999999999, 20.4, 1.5999999999999999, 6.51, 0.4, 19.96, 2.63, 3.07
Pennsylvania,0.22999999999999998, 22.37, 8.17, 2.0599999999999996, 0.05, 19.74000000000001, 1.6500000000000004, 2.15
Rhode-Island,0.5, 15.499999999999998, 6.159999999999999, 5.07, 0.08, 9.219999999999999, 1.5499999999999998, 5.47
South-Carolina,0.5700000000000001, 13.299999999999999, 21.28, 0.6600000000000001, 0.08, 0.8700000000000045, 4.33, 1.76
South-Dakota,8.75, 42.989999999999995, 2.01, 3.79, 0.06, 26.39999999999999, 2.62, 0.83
Tennessee,0.0, 18.99, 13.3, 0.3799999999999999, 0.06, 8.909999999999997, 0.9899999999999998, 1.38
Texas,0.030000000000000027, 29.95, 9.120000000000001, 18.810000000000002, 0.0, 8.470000000000006, 1.5000000000000004, 5.82
Utah,1.09, 8.02, 0.10000000000000009, 5.85, 0.89, 10.230000000000004, 5.1499999999999995, 5.04
Vermont,0.34, 11.36, 0.27, 1.3299999999999998, 0.05, 17.799999999999997, 0.1499999999999999, 0.39
Virginia,0.07000000000000003, 32.08, 13.989999999999998, 2.329999999999999, 0.04000000000000001, 23.5, 2.51, 2.65
Washington,0.95, 30.699999999999996, 2.7399999999999998, 6.48, 0.37000000000000005, 27.870000000000005, 0.7000000000000002, 4.5
West-Virginia,0.6399999999999999, 13.489999999999998, 2.85, 2.64, 0.02, 18.870000000000005, 2.43, 0.44
Wisconsin,0.64, 8.670000000000002, 5.390000000000001, 1.5899999999999999, 0.04, 7.88000000000001, 1.94, 2.04
Wyoming,2.11, 8.23, 0.96, 9.87, 0.1, 6.790000000000006, 2.67, 1.52
